用語,読み,ページ,種類,分野,国,立場,開始年,終了年,時代,メモ
鮎川義介,鮎(あい)川(かわ)義(よし)介(すけ),308,人物,産業・工業,日本,実業家,1928,1945,,
愛国公党,愛(あい)国(こく)公(こう)党(とう),246,組織・団体・政党,政治・政策;社会運動,,,1874,1874,,
愛国社,愛(あい)国(こく)社(しゃ),247,組織・団体・政党,社会運動,,,1875,1880,,
相沢忠洋,相(あい)沢(ざわ)忠(ただ)洋(ひろ),8,人物,考古,日本,学者・思想家,1946,1946,,
会沢安,会(あい)沢(ざわ)安(やすし),212;214;225,人物,思想・学問,日本,学者・思想家,1825,1863,,
相対済し令,相(あい)対(たい)済(すま)し令(れい),192,法令・政策,政治・政策;商業・流通・都市,,,1719,1719,,
アイヌ,アイヌ,101;118;164;206;241,その他,北方・アイヌ,,,,,鎌倉;室町;江戸;明治,
アイヌ施策推進法,アイヌ施(し)策(さく)推(すい)進(しん)法(ほう),241,法令・政策,北方・アイヌ,,,2019,2019,,
アイヌ文化振興法,アイヌ文(ぶん)化(か)振(しん)興(こう)法(ほう),241,法令・政策,北方・アイヌ,,,1997,1997,,
亜欧堂田善,亜(あ)欧(おう)堂(どう)田(でん)善(ぜん),203,人物,美術・建築,日本,芸術家,1790,1822,,
青木昆陽,青(あお)木(き)昆(こん)陽(よう),193;198,人物,思想・学問;農林漁業,日本,学者・思想家,1735,1769,,
青木周蔵,青(あお)木(き)周(しゅう)蔵(ぞう),257,人物,対外関係,日本,政治家,1889,1894,,
赤い鳥,赤(あか)い鳥(とり),297,書物・史料,文学;教育,,,1918,1936,,
赤絵,赤(あか)絵(え),166,文化・流派,美術・建築,,,1640,1680,,
赤蝦夷風説考,赤(あか)蝦(え)夷(ぞ)風(ふう)説(せつ)考(こう),197,書物・史料,北方・アイヌ;思想・学問,,,1783,1783,,
明石人,明(あか)石(し)人(じん),7,その他,考古,,,,,旧石器,
赤松克麿,赤(あか)松(まつ)克(かつ)麿(まろ),308,人物,社会運動;政治・政策,日本,社会運動家,1932,1932,,
赤松満祐,赤(あか)松(まつ)満(みつ)祐(すけ),120,人物,政変・事件・反乱,日本,武家,1441,1441,,
秋田城,秋(あき)田(た)城(じょう),45,寺社・遺跡・場所,対外関係;北方・アイヌ,,,733,733,,
秋田杉,秋(あき)田(た)杉(すぎ),173,その他,農林漁業,,,,,江戸,
秋月の乱,秋(あき)月(づき)の乱(らん),247,事件・戦争・乱,政変・事件・反乱,,,1876,1876,,
商場,商(あきない)場(ば),164,制度・役職,北方・アイヌ;商業・流通・都市,,,1600,1700,,
芥川龍之介,芥(あくた)川(がわ)龍(りゅう)之(の)介(すけ),298,人物,文学,日本,文学者,1915,1927,,
悪党,悪(あく)党(とう),104;111,その他,身分・社会構造,,,1280,1335,,
悪人正機,悪(あく)人(にん)正(しょう)機(き),104,その他,仏教,,,1200,1262,,
安愚楽鍋,安(あ)愚(ぐ)楽(ら)鍋(なべ),290,書物・史料,文学;生活・風俗,,,1871,1871,,
明智光秀,明(あけ)智(ち)光(みつ)秀(ひで),142,人物,戦争・軍事,日本,武家,1568,1582,,
上げ米,上(あ)げ米(まい),193,法令・政策,土地・税制;政治・政策,,,1722,1730,,
赤穂事件,赤(あ)穂(こう)事(じ)件(けん),178,事件・戦争・乱,政変・事件・反乱,,,1701,1703,,
阿衡の紛議,阿(あ)衡(こう)の紛(ふん)議(ぎ),62,事件・戦争・乱,政治・政策,,,887,888,,
浅井忠,浅(あさ)井(い)忠(ちゅう),293,人物,美術・建築,日本,芸術家,1876,1907,,
浅野総一郎,浅(あさ)野(の)総(そう)一(いち)郎(ろう),284,人物,産業・工業,日本,実業家,1884,1930,,
浅間山大噴火,浅(あさ)間(ま)山(やま)大(だい)噴(ふん)火(か),196,事件・戦争・乱,公害・環境・災害,,,1783,1783,,
按司,按(あ)司(じ),101,制度・役職,琉球・沖縄,,,1300,1429,,
アジア＝アフリカ会議,アジア＝アフリカ会(かい)議(ぎ),339,条約・協定・会議,対外関係;条約・会議,,,1955,1955,,
足尾鉱毒事件,足(あし)尾(お)鉱(こう)毒(どく)事(じ)件(けん),287,事件・戦争・乱,公害・環境・災害;社会運動,,,1890,1907,,
足利学校,足(あし)利(かが)学(がっ)校(こう),131,寺社・遺跡・場所,教育,,,1439,1439,,
足利成氏,足(あし)利(かが)成(しげ)氏(うじ),132,人物,戦争・軍事,日本,武家,1449,1497,,
足利高氏（尊氏）,足(あし)利(かが)高(たか)氏(うじ)（尊(たか)氏(うじ)）,111,人物,政治・政策;戦争・軍事,日本,武家,1333,1358,,
足利直義,足(あし)利(かが)直(ただ)義(よし),112,人物,政治・政策,日本,武家,1336,1352,,
足利政知,足(あし)利(かが)政(まさ)知(とも),132,人物,政治・政策,日本,武家,1457,1491,,
足利持氏,足(あし)利(かが)持(もち)氏(うじ),120,人物,政変・事件・反乱,日本,武家,1409,1439,,
