ID,親ID,区分名,開始年,終了年,備考
paleo,,旧石器時代,-38000,-14000,
jomon,,縄文時代,-14000,-400,
yayoi,,弥生時代,-400,250,
kofun,,古墳時代,250,592,
asuka,,飛鳥時代,592,710,
nara,,奈良時代,710,794,
heian,,平安時代,794,1185,
kamakura,,鎌倉時代,1185,1333,
kenmu,,建武の新政,1333,1336,
nanboku,,南北朝時代,1336,1392,
muromachi,,室町時代,1336,1573,
sengoku,,戦国時代,1467,1590,
azuchi,,安土桃山時代,1568,1603,
edo,,江戸時代,1603,1867,
modern,,明治以降（内閣）,1868,2100,
kamakura_01,kamakura,頼朝（将軍）,1185,1199,
kamakura_02,kamakura,頼家（将軍）,1199,1203,
kamakura_03,kamakura,実朝（将軍）,1203,1219,
kamakura_04,kamakura,北条義時（執権）,1219,1224,実朝までは将軍、以降は執権で区分
kamakura_05,kamakura,北条泰時（執権）,1224,1242,
kamakura_06,kamakura,北条経時（執権）,1242,1246,
kamakura_07,kamakura,北条時頼（執権）,1246,1256,
kamakura_08,kamakura,北条長時・政村（執権）,1256,1268,
kamakura_09,kamakura,北条時宗（執権）,1268,1284,
kamakura_10,kamakura,北条貞時（執権）,1284,1301,
kamakura_11,kamakura,北条師時〜基時（執権）,1301,1316,
kamakura_12,kamakura,北条高時〜守時（執権）,1316,1333,
muromachi_01,muromachi,足利尊氏,1338,1358,
muromachi_02,muromachi,足利義詮,1358,1367,
muromachi_03,muromachi,足利義満,1368,1408,将軍職1368-1394、以後も実権（〜1408）
muromachi_04,muromachi,足利義持,1394,1428,義量（1423-25）の時期を含む
muromachi_05,muromachi,足利義教,1429,1441,
muromachi_06,muromachi,足利義勝,1442,1443,
muromachi_07,muromachi,足利義政,1449,1473,
muromachi_08,muromachi,足利義尚,1473,1489,
muromachi_09,muromachi,足利義稙（1回目）,1490,1493,
muromachi_10,muromachi,足利義澄,1494,1508,
muromachi_11,muromachi,足利義稙（2回目）,1508,1521,
muromachi_12,muromachi,足利義晴,1521,1546,
muromachi_13,muromachi,足利義輝,1546,1565,
muromachi_14,muromachi,足利義昭,1568,1573,
azuchi_01,azuchi,織田政権,1568,1582,
azuchi_02,azuchi,豊臣政権,1582,1600,
edo_s,edo,将軍,1603,1867,
edo_p,edo,政治の区分,1603,1867,
edo_s01,edo_s,徳川家康,1603,1616,将軍職1603-1605、大御所として〜1616
edo_s02,edo_s,徳川秀忠,1605,1632,将軍職1605-1623、大御所として〜1632
edo_s03,edo_s,徳川家光,1623,1651,
edo_s04,edo_s,徳川家綱,1651,1680,
edo_s05,edo_s,徳川綱吉,1680,1709,
edo_s06,edo_s,徳川家宣,1709,1712,
edo_s07,edo_s,徳川家継,1713,1716,
